Date,Day,NetWorth,Cash,Shares
2018-11-28,0,0,0,0
2018-11-29,2,10000,10000,0
2018-11-30,3,10000,10000,0
2018-12-03,4,10000,10000,0
2018-12-04,5,10000,10000,0
2018-12-05,6,10000,10000,0
2018-12-06,7,10000,10000,0
2018-12-07,8,10000,10000,0
2018-12-10,9,10000,10000,0
2018-12-11,10,10000,10000,0
2018-12-12,11,10000,10000,0
2018-12-13,12,10000,10000,0
2018-12-14,13,10000,10000,0
2018-12-17,14,10000,10000,0
2018-12-18,15,10000,10000,0
2018-12-19,16,10000,10000,0
2018-12-20,17,10000,10000,0
2018-12-21,18,10000,10000,0
2018-12-24,19,10000,10000,0
2018-12-26,20,10000,10000,0
2018-12-27,21,10000,10000,0
2018-12-28,22,10000,7000,1.41177799320464
2018-12-31,23,9999.11057986428,9999.11057986428,0
2019-01-01,24,9999.11057986428,6999.377405905,1.40742019168858
2019-01-02,25,10000.6305936713,10000.6305936713,0
2019-01-03,26,10000.6305936713,10000.6305936713,0
2019-01-04,27,10000.6305936713,10000.6305936713,0
2019-01-07,28,10000.6305936713,7000.44141556991,1.40961824217659
2019-01-08,29,9968.77322139811,9968.77322139811,0
2019-01-09,30,9968.77322139811,9968.77322139811,0
2019-01-10,31,9968.77322139811,9968.77322139811,0
2019-01-11,32,9968.77322139811,9968.77322139811,0
2019-01-14,33,9968.77322139811,9968.77322139811,0
2019-01-15,34,9968.77322139811,6978.14125497868,1.41143443475238
2019-01-16,35,9968.53327754421,9968.53327754421,0
2019-01-17,36,9968.53327754421,9968.53327754421,0
2019-01-18,37,9968.53327754421,9968.53327754421,0
2019-01-21,38,9968.53327754421,9968.53327754421,0
2019-01-22,39,9968.53327754421,9968.53327754421,0
2019-01-23,40,9968.53327754421,9968.53327754421,0
2019-01-24,41,9968.53327754421,9968.53327754421,0
2019-01-25,42,9968.53327754421,9968.53327754421,0
2019-01-28,43,9968.53327754421,9968.53327754421,0
2019-01-29,44,9968.53327754421,9968.53327754421,0
2019-01-30,45,9968.53327754421,9968.53327754421,0
2019-01-31,46,9968.53327754421,9968.53327754421,0
2019-02-01,47,9968.53327754421,9968.53327754421,0
2019-02-04,48,9968.53327754421,9968.53327754421,0
2019-02-05,49,9968.53327754421,9968.53327754421,0
2019-02-06,50,9968.53327754421,9968.53327754421,0
2019-02-07,51,9968.53327754421,9968.53327754421,0
2019-02-08,52,9968.53327754421,9968.53327754421,0
2019-02-11,53,9968.53327754421,9968.53327754421,0
2019-02-12,54,9968.53327754421,9968.53327754421,0
2019-02-13,55,9968.53327754421,9968.53327754421,0
2019-02-14,56,9968.53327754421,9968.53327754421,0
2019-02-15,57,9968.53327754421,9968.53327754421,0
2019-02-18,58,9968.53327754421,9968.53327754421,0
2019-02-19,59,9968.53327754421,9968.53327754421,0
2019-02-20,60,9968.53327754421,9968.53327754421,0
2019-02-21,61,9968.53327754421,9968.53327754421,0
2019-02-22,62,9968.53327754421,9968.53327754421,0
2019-02-25,63,9968.53327754421,9968.53327754421,0
2019-02-26,64,9968.53327754421,9968.53327754421,0
2019-02-27,65,9968.53327754421,9968.53327754421,0
2019-02-28,66,9968.53327754421,9968.53327754421,0
2019-03-01,67,9968.53327754421,9968.53327754421,0
2019-03-05,68,9968.53327754421,9968.53327754421,0
2019-03-06,69,9968.53327754421,9968.53327754421,0
2019-03-07,70,9968.53327754421,9968.53327754421,0
