Date,Day,NetWorth,Cash,Shares
2018-11-28,0,0,0,0
2018-11-29,2,10000,10000,0
2018-11-30,3,10000,10000,0
2018-12-03,4,10000,10000,0
2018-12-04,5,10000,10000,0
2018-12-05,6,10000,10000,0
2018-12-06,7,10000,10000,0
2018-12-07,8,10000,10000,0
2018-12-10,9,10000,10000,0
2018-12-11,10,10000,10000,0
2018-12-12,11,10000,10000,0
2018-12-13,12,10000,10000,0
2018-12-14,13,10000,10000,0
2018-12-17,14,10000,10000,0
2018-12-18,15,10000,10000,0
2018-12-19,16,10000,10000,0
2018-12-20,17,10000,10000,0
2018-12-21,18,10000,10000,0
2018-12-24,19,10000,10000,0
2018-12-26,20,10000,10000,0
2018-12-27,21,10000,10000,0
2018-12-28,22,10000,10000,0
2018-12-31,23,10000,10000,0
2019-01-01,24,10000,10000,0
2019-01-02,25,10000,10000,0
2019-01-03,26,10000,10000,0
2019-01-04,27,10000,10000,0
2019-01-07,28,10000,10000,0
2019-01-08,29,10000,10000,0
2019-01-09,30,10000,10000,0
2019-01-10,31,10000,10000,0
2019-01-11,32,10000,10000,0
2019-01-14,33,10000,10000,0
2019-01-15,34,10000,10000,0
2019-01-16,35,10000,10000,0
2019-01-17,36,10000,2000,21.320825115932
2019-01-18,37,9954.79985075423,2000,21.320825115932
2019-01-21,38,9954.79985075423,2000,21.320825115932
2019-01-22,39,9858.64292948137,2000,21.320825115932
2019-01-23,40,9902.35062096903,2000,21.320825115932
2019-01-24,41,9783.16720857097,2000,21.320825115932
2019-01-25,42,9662.49133841479,2000,21.320825115932
2019-01-28,43,9321.99776131336,2000,21.320825115932
2019-01-29,44,9345.02425243857,2000,21.320825115932
2019-01-30,45,9715.79340120463,2000,21.320825115932
2019-01-31,46,9828.58056606791,2000,21.320825115932
2019-02-01,47,9619.63647993177,2000,21.320825115932
2019-02-04,48,9490.64548798038,2000,21.320825115932
2019-02-05,49,9505.7832738127,2000,21.320825115932
2019-02-06,50,9651.19130110335,2000,21.320825115932
2019-02-07,51,9663.34417141943,2000,21.320825115932
2019-02-08,52,9550.55700655615,2000,21.320825115932
2019-02-11,53,9496.61531901285,2000,21.320825115932
2019-02-12,54,9427.10942913491,2000,21.320825115932
2019-02-13,55,9313.25622301583,2000,21.320825115932
2019-02-14,56,9297.90522893236,2000,21.320825115932
2019-02-15,57,9326.04871808539,2000,21.320825115932
2019-02-18,58,9242.68429188209,2000,21.320825115932
2019-02-19,59,9374.87340760087,2000,21.320825115932
2019-02-20,60,9359.73562176856,2000,21.320825115932
2019-02-21,61,9508.76818932893,2000,21.320825115932
2019-02-22,62,9514.31160385907,9514.31160385907,0
2019-02-25,63,9514.31160385907,9514.31160385907,0
2019-02-26,64,9514.31160385907,9514.31160385907,0
2019-02-27,65,9514.31160385907,9514.31160385907,0
2019-02-28,66,9514.31160385907,9514.31160385907,0
2019-03-01,67,9514.31160385907,9514.31160385907,0
2019-03-05,68,9514.31160385907,9514.31160385907,0
2019-03-06,69,9514.31160385907,9514.31160385907,0
2019-03-07,70,9514.31160385907,9514.31160385907,0
2019-03-08,71,9514.31160385907,9514.31160385907,0
2019-03-11,72,9514.31160385907,9514.31160385907,0
2019-03-12,73,9514.31160385907,9514.31160385907,0
2019-03-13,74,9514.31160385907,9514.31160385907,0
2019-03-14,75,9514.31160385907,9514.31160385907,0
2019-03-15,76,9514.31160385907,9514.31160385907,0
