Date,Day,NetWorth,Cash,Shares
2018-11-28,0,0,0,0
2018-11-29,2,10000,10000,0
2018-11-30,3,10000,10000,0
2018-12-03,4,10000,10000,0
2018-12-04,5,10000,10000,0
2018-12-05,6,10000,10000,0
2018-12-06,7,10000,10000,0
2018-12-07,8,10000,10000,0
2018-12-10,9,10000,10000,0
2018-12-11,10,10000,10000,0
2018-12-12,11,10000,10000,0
2018-12-13,12,10000,10000,0
2018-12-14,13,10000,2000,4.99740759481019
2018-12-17,14,10128.9331159461,2000,4.99740759481019
2018-12-18,15,10141.526583085,2000,4.99740759481019
2018-12-19,16,10153.9201539202,2000,4.99740759481019
2018-12-20,17,10039.5294940749,2000,4.99740759481019
2018-12-21,18,9965.56786167176,2000,4.99740759481019
2018-12-24,19,9835.68523828264,2000,4.99740759481019
2018-12-26,20,9693.10919960271,2000,4.99740759481019
2018-12-27,21,9866.41929499072,2000,4.99740759481019
2018-12-28,22,9940.13105701417,2000,4.99740759481019
2018-12-31,23,9978.9109399499,2000,4.99740759481019
2019-01-01,24,9953.27423898852,2000,4.99740759481019
2019-01-02,25,9906.79834835679,2000,4.99740759481019
2019-01-03,26,9821.99234147286,2000,4.99740759481019
2019-01-04,27,9749.67985357596,2000,4.99740759481019
2019-01-07,28,9898.45267767346,2000,4.99740759481019
2019-01-08,29,9853.87580192775,2000,4.99740759481019
2019-01-09,30,9876.11426572465,2000,4.99740759481019
2019-01-10,31,9836.08503089023,2000,4.99740759481019
2019-01-11,32,9671.42045064123,2000,4.99740759481019
2019-01-14,33,9421.25022644503,2000,4.99740759481019
2019-01-15,34,9474.57256548166,2000,4.99740759481019
2019-01-16,35,9611.70142988325,2000,4.99740759481019
2019-01-17,36,9591.51190320021,2000,4.99740759481019
2019-01-18,37,9616.74881155401,2000,4.99740759481019
2019-01-21,38,9536.09065297377,2000,4.99740759481019
2019-01-22,39,9453.43353135561,2000,4.99740759481019
2019-01-23,40,9469.37526158305,2000,4.99740759481019
2019-01-24,41,9438.44130857118,2000,4.99740759481019
2019-01-25,42,9488.26546229144,2000,4.99740759481019
2019-01-28,43,9315.70497804264,2000,4.99740759481019
2019-01-29,44,9246.54085693047,2000,4.99740759481019
2019-01-30,45,9367.97786148435,2000,4.99740759481019
2019-01-31,46,9509.80428902507,2000,4.99740759481019
2019-02-01,47,9582.61651768145,2000,4.99740759481019
2019-02-04,48,9425.69791920441,2000,4.99740759481019
2019-02-05,49,9689.41111798255,2000,4.99740759481019
2019-02-06,50,9616.99868193375,2000,4.99740759481019
2019-02-07,51,9577.26929155501,2000,4.99740759481019
2019-02-08,52,9529.19423049293,2000,4.99740759481019
2019-02-11,53,9475.87189145631,2000,4.99740759481019
2019-02-12,54,9485.66681034214,2000,4.99740759481019
2019-02-13,55,9469.57515788685,2000,4.99740759481019
2019-02-14,56,9561.42750947946,2000,4.99740759481019
2019-02-15,57,9540.4883716572,2000,4.99740759481019
2019-02-18,58,9586.6144437573,2000,4.99740759481019
2019-02-19,59,9479.96976568405,2000,4.99740759481019
2019-02-20,60,9402.26007758475,2000,4.99740759481019
2019-02-21,61,9358.53276113016,2000,4.99740759481019
2019-02-22,62,9350.13711637088,2000,4.99740759481019
2019-02-25,63,9385.86858067378,9385.86858067378,0
2019-02-26,64,9385.86858067378,9385.86858067378,0
2019-02-27,65,9385.86858067378,9385.86858067378,0
