FilterType	n	MinStopbandAttenuation(dB)
Butterworth	2	-0.00
Chebyshev	2	-0.10
Elliptic	2	-0.10
Butterworth	3	-0.00
Chebyshev	3	-0.00
Elliptic	3	-0.00
Butterworth	4	0.00
Chebyshev	4	-0.10
Elliptic	4	-0.10
Butterworth	5	-0.00
Chebyshev	5	-0.00
Elliptic	5	-0.00
Butterworth	6	-0.00
Chebyshev	6	-0.10
Elliptic	6	-0.10
Butterworth	7	0.00
Chebyshev	7	-0.00
Elliptic	7	-0.00
Butterworth	8	-0.00
Chebyshev	8	-0.10
Elliptic	8	-0.10
Butterworth	9	-0.00
Chebyshev	9	-0.00
Elliptic	9	-0.00
Butterworth	10	-0.00
Chebyshev	10	-0.10
Elliptic	10	-0.10
Butterworth	11	-0.00
Chebyshev	11	-0.00
Elliptic	11	-0.00
Butterworth	12	-0.00
Chebyshev	12	-0.10
Elliptic	12	-0.10
Butterworth	13	-0.00
Chebyshev	13	-0.01
Elliptic	13	-0.01
Butterworth	14	-0.02
Chebyshev	14	-0.13
Elliptic	14	-0.14
Butterworth	15	-0.26
Chebyshev	15	-0.23
Elliptic	15	-0.27
Butterworth	16	0.94
Chebyshev	16	-0.53
Elliptic	16	-1.85
Butterworth	17	-48.64
Chebyshev	17	-51.73
Elliptic	17	-53.54
Butterworth	18	-54.19
Chebyshev	18	-47.28
Elliptic	18	-61.84
Butterworth	19	-21.85
Chebyshev	19	-29.68
Elliptic	19	-41.34
Butterworth	20	-57.02
Chebyshev	20	-63.72
Elliptic	20	-53.73
